MultiTargForag_2	Participant_Code = 62
Search_Type = 2	CB_Targets = 2
Trial	Item_Position_Num	Item_X	ItemY	Item_Shape	Item_Set
1.000000	66.000000	733.052720	777.643158	1.000000	1.000000
1.000000	67.000000	887.112582	784.419950	2.000000	2.000000
1.000000	68.000000	999.864058	797.160628	2.000000	2.000000
1.000000	69.000000	1069.374699	766.559894	2.000000	3.000000
1.000000	70.000000	1179.289815	757.569589	2.000000	3.000000
1.000000	71.000000	222.916215	904.351693	1.000000	4.000000
1.000000	72.000000	288.017833	895.235711	2.000000	2.000000
1.000000	73.000000	399.755386	889.779768	1.000000	4.000000
1.000000	74.000000	519.251287	877.687628	2.000000	3.000000
1.000000	75.000000	663.481155	912.280054	1.000000	4.000000
1.000000	76.000000	749.766283	927.038559	1.000000	4.000000
1.000000	77.000000	869.133650	870.240828	1.000000	1.000000
1.000000	78.000000	960.514666	922.404486	1.000000	4.000000
1.000000	79.000000	1066.547250	873.708541	1.000000	4.000000
1.000000	80.000000	1196.177205	890.349648	2.000000	2.000000
2.000000	1.000000	192.590307	170.525100	1.000000	4.000000
2.000000	2.000000	328.000149	119.931494	1.000000	4.000000
2.000000	3.000000	429.909771	157.612429	1.000000	1.000000
2.000000	4.000000	552.843463	173.292230	2.000000	2.000000
2.000000	5.000000	635.630989	169.975741	1.000000	1.000000
2.000000	6.000000	774.106024	169.867657	2.000000	3.000000
2.000000	7.000000	854.270378	171.190199	2.000000	2.000000
2.000000	8.000000	951.362338	130.924200	1.000000	4.000000
2.000000	9.000000	1097.979791	137.875321	1.000000	1.000000
2.000000	10.000000	1200.656387	124.639162	1.000000	1.000000
2.000000	11.000000	184.453208	225.284919	2.000000	3.000000
2.000000	12.000000	337.761120	281.180830	1.000000	1.000000
2.000000	13.000000	436.601563	239.023631	1.000000	1.000000
2.000000	14.000000	532.614450	280.661041	2.000000	2.000000
2.000000	15.000000	652.001512	294.886322	2.000000	2.000000
2.000000	16.000000	741.347509	245.023867	2.000000	3.000000
2.000000	17.000000	875.944918	227.160196	1.000000	4.000000
2.000000	18.000000	1000.453890	234.191498	1.000000	1.000000
2.000000	19.000000	1057.530524	285.315108	1.000000	1.000000
2.000000	20.000000	1196.931702	277.923144	1.000000	1.000000
2.000000	21.000000	193.467000	377.263633	1.000000	4.000000
2.000000	22.000000	312.302464	375.623365	1.000000	4.000000
2.000000	23.000000	413.728255	355.245606	2.000000	3.000000
2.000000	24.000000	541.538986	331.572177	1.000000	1.000000
2.000000	25.000000	649.879163	400.993350	1.000000	4.000000
2.000000	26.000000	747.773026	383.298386	1.000000	4.000000
2.000000	27.000000	846.350736	343.295231	2.000000	3.000000
2.000000	28.000000	962.616734	370.723645	2.000000	3.000000
2.000000	29.000000	1085.364468	330.803581	1.000000	1.000000
2.000000	30.000000	1192.523502	354.475829	1.000000	4.000000
2.000000	31.000000	229.964141	451.374226	1.000000	1.000000
2.000000	32.000000	293.805516	493.106858	2.000000	2.000000
